Player ID,Overall Pick,Games,Minutes Played,Free Throw Percentage,Minutes Per Game,Points Per Game,Total Rebounds Per Game
310,5,857,29241,0.707,34.1,17.1,5
311,14,729,19921,0.785,27.3,10.8,7.8
312,31,552,19351,0.803,35.1,20.7,3.9
313,55,51,1147,0.667,22.5,8.6,3.7
315,45,74,2111,0.746,28.5,10.1,2.9
316,37,5,52,1,10.4,2.8,2
317,43,15,79,0.7,5.3,1.3,1.1
318,18,146,2224,0.615,15.2,5.3,3
319,32,164,2529,0.625,15.4,8.4,3.3
320,25,222,4978,0.478,22.4,10.6,8.1
321,42,28,262,0.68,9.4,2.6,1.4
322,34,205,4170,0.839,20.3,8.4,1.9
323,12,350,6520,0.836,18.6,9.1,3.3
325,18,232,5557,0.622,24,10.5,5.7
326,14,465,12212,0.729,26.3,11.1,4.4
327,23,265,6235,0.798,23.5,11.5,5.6
328,38,409,12677,0.708,31,13.1,4.6
329,14,552,12616,0.756,22.9,7.3,4.4
330,25,685,21703,0.838,31.7,12.1,5.3
331,26,643,13422,0.837,20.9,9.7,1.7
332,8,802,27867,0.795,34.7,18,5.9
333,32,467,5657,0.877,12.1,4.7,1.3
334,24,348,7797,0.773,22.4,8.2,2.4
335,55,16,77,1,4.8,2.2,0.2
336,1,486,15818,0.833,32.5,19,9.2
337,15,317,5628,0.784,17.8,7.1,2.6
338,38,9,35,0.625,3.9,1.2,0.8
339,13,1181,34293,0.768,29,12.6,4
340,18,735,14974,0.647,20.4,3.6,3.7
341,23,108,699,0.6,6.5,2.2,0.6
342,9,592,11733,0.557,19.8,3.9,6.2
343,38,619,11213,0.671,18.1,4.9,3.7
345,18,49,424,0.667,8.7,2.9,1.6
346,47,10,28,0.833,2.8,1.3,0.9
347,20,121,2903,0.712,24,10.2,3.5
348,50,29,108,1,3.7,0.9,0.7
349,11,198,5544,0.782,28,12.9,6.6
350,43,124,1039,0.768,8.4,3.3,1
351,23,253,5895,0.822,23.3,6.3,3.3
352,26,321,5366,0.545,16.7,4.9,4.6
353,15,407,12364,0.846,30.4,16.3,6.2
354,42,137,1840,0.819,13.4,5.4,1.8
355,10,520,17317,0.844,33.3,18.6,6.2
356,40,432,10563,0.688,24.5,8.8,4.3
358,13,428,7233,0.738,16.9,6.7,4.2
359,52,261,3929,0.742,15.1,5.8,1.4
360,11,552,11829,0.824,21.4,8.5,2.1
361,41,45,431,0.684,9.6,2.8,2.4
362,17,314,5368,0.755,17.1,5.6,3
363,45,102,1302,0.672,12.8,4.3,2.7
364,17,586,18487,0.848,31.5,16.8,4.9
365,29,189,2686,0.525,14.2,5,2.9
366,49,709,11098,0.84,15.7,5.2,1.8
367,14,430,10299,0.809,24,7.5,2.2
368,41,54,468,0.393,8.7,1.6,0.9
369,27,342,6192,0.701,18.1,7.2,3.9
