Player ID,Round,Overall Pick,Games,Minutes Played,Points,Total Rebounds,Assists ,Field Goal Percentage,3-Point Percentage,Free Throw Percentage,Minutes Per Game,Points Per Game,Total Rebounds Per Game,Assists Per Game
200,2,42,397,9316,3115,792,775,0.402,0.407,0.78,23.5,7.8,2,2
201,1,10,73,724,252,89,58,0.357,0.36,0.732,9.9,3.5,1.2,0.8
202,1,1,1134,43977,30796,8336,8126,0.504,0.343,0.739,38.8,27.2,7.4,7.2
203,2,31,509,9068,3398,844,417,0.442,0.434,0.835,17.8,6.7,1.7,0.8
204,1,6,103,2202,964,142,195,0.366,0.321,0.77,21.4,9.4,1.4,1.9
205,2,35,861,26901,13976,8192,1928,0.521,0.071,0.722,31.2,16.2,9.5,2.2
206,1,8,601,8403,1185,2219,270,0.427,0.167,0.467,14,2,3.7,0.4
207,1,20,816,18680,5538,4875,442,0.528,0,0.587,22.9,6.8,6,0.5
208,2,36,31,270,88,43,22,0.337,0.462,0.7,8.7,2.8,1.4,0.7
209,1,8,1255,37607,18847,2850,4292,0.41,0.349,0.862,30,15,2.3,3.4
210,,,,,,,,,,,,,,
211,1,9,62,1843,939,237,304,0.392,0.306,0.7,29.7,15.1,3.8,4.9
212,2,46,22,163,48,36,4,0.405,0.5,0.45,7.4,2.2,1.6,0.2
213,1,21,163,2339,938,456,118,0.42,0.298,0.785,14.3,5.8,2.8,0.7
214,1,13,346,7373,3400,1696,660,0.48,0.367,0.75,21.3,9.8,4.9,1.9
215,2,44,235,3372,1228,716,202,0.496,0.389,0.839,14.3,5.2,3,0.9
216,1,17,397,6970,2757,1739,351,0.506,0.294,0.761,17.6,6.9,4.4,0.9
217,2,55,7,21,0,6,2,0,0,0,3,0,0.9,0.3
218,1,26,151,2100,890,429,127,0.408,0.357,0.67,13.9,5.9,2.8,0.8
219,2,50,26,181,39,61,5,0.314,,0.7,7,1.5,2.3,0.2
220,1,24,189,3446,1398,790,153,0.408,0.319,0.706,18.2,7.4,4.2,0.8
221,2,34,26,269,107,89,11,0.561,0,0.682,10.3,4.1,3.4,0.4
222,1,28,82,505,169,46,19,0.339,0.25,0.566,6.2,2.1,0.6,0.2
223,2,50,31,272,85,22,28,0.319,0.172,0.81,8.8,2.7,0.7,0.9
224,2,54,75,1062,321,95,176,0.335,0.218,0.746,14.2,4.3,1.3,2.3
225,1,12,409,7084,2341,1927,149,0.513,,0.603,17.3,5.7,4.7,0.4
226,2,31,133,1253,393,199,39,0.391,0.289,0.613,9.4,3,1.5,0.3
227,,,,,,,,,,,,,,
228,1,13,71,2367,1439,261,256,0.435,0.338,0.821,33.3,20.3,3.7,3.6
229,2,51,3,25,10,2,7,0.667,0,1,8.3,3.3,0.7,2.3
230,1,7,155,4018,2021,484,406,0.432,0.361,0.898,25.9,13,3.1,2.6
231,1,15,85,1096,381,240,39,0.437,0.369,0.761,12.9,4.5,2.8,0.5
232,1,19,82,744,274,88,42,0.42,0.33,0.718,9.1,3.3,1.1,0.5
233,2,56,5,26,12,5,7,0.455,0.4,,5.2,2.4,1,1.4
234,1,7,183,4648,2000,553,789,0.374,0.319,0.729,25.4,10.9,3,4.3
235,1,11,256,5304,2031,600,198,0.451,0.404,0.823,20.7,7.9,2.3,0.8
236,2,41,220,5896,3196,1975,946,0.531,0.363,0.83,26.8,14.5,9,4.3
237,2,56,44,457,97,69,29,0.304,0.222,0.375,10.4,2.2,1.6,0.7
238,1,27,317,8833,3158,3151,369,0.614,0,0.631,27.9,10,9.9,1.2
239,1,20,376,10229,4931,1004,856,0.448,0.379,0.804,27.2,13.1,2.7,2.3
240,2,38,69,934,295,169,37,0.35,0.292,0.706,13.5,4.3,2.4,0.5
241,1,22,441,11000,5046,3634,450,0.543,0.1,0.655,24.9,11.4,8.2,1
242,2,49,239,3320,1484,911,78,0.515,0,0.682,13.9,6.2,3.8,0.3
243,1,20,23,98,28,15,18,0.44,,0.5,4.3,1.2,0.7,0.8
244,1,22,863,24075,9321,2475,3937,0.44,0.343,0.855,27.9,10.8,2.9,4.6
245,1,20,878,24539,9940,2595,4508,0.436,0.368,0.81,27.9,11.3,3,5.1
246,1,3,1047,37617,25314,6844,3150,0.449,0.347,0.812,35.9,24.2,6.5,3
247,1,5,172,1946,507,307,114,0.304,0.235,0.73,11.3,2.9,1.8,0.7
248,1,25,86,952,253,77,166,0.352,0.3,0.833,11.1,2.9,0.9,1.9
249,2,33,59,1381,406,162,130,0.393,0.269,0.79,23.4,6.9,2.7,2.2
250,1,26,69,858,262,225,8,0.427,0,0.736,12.4,3.8,3.3,0.1
251,2,53,6,58,18,17,1,0.5,,0,9.7,3,2.8,0.2
252,,,,,,,,,,,,,,
253,1,12,65,1252,461,148,103,0.44,0.394,0.873,19.3,7.1,2.3,1.6
254,1,18,49,327,133,89,19,0.338,0.286,0.611,6.7,2.7,1.8,0.4
