Player ID,Round,Games,Total Rebounds,Free Throw Percentage,Points Per Game,Total Rebounds Per Game
94,1,627,4262,0.788,18,6.8
95,1,618,3339,0.855,12.8,5.4
96,2,222,472,0.831,7.1,2.1
97,1,137,472,0.624,4.2,3.4
98,1,203,361,0.767,5.6,1.8
99,1,256,1258,0.445,5.2,4.9
100,2,73,84,0.643,2.5,1.2
101,1,297,681,0.674,5.4,2.3
103,1,143,492,0.658,4.5,3.4
104,1,148,198,0.677,3.8,1.3
105,2,1100,3348,0.88,9.9,3
106,1,419,2261,0.73,10,5.4
107,2,66,70,0.538,2.6,1.1
108,1,303,1744,0.671,7.2,5.8
109,2,520,1034,0.783,3.1,2
110,1,757,5159,0.629,12.3,6.8
111,2,47,76,0.462,1.4,1.6
113,1,56,58,0.778,5.3,1
114,1,48,57,0.78,3.5,1.2
115,1,228,930,0.762,9.9,4.1
116,1,226,1048,0.673,4.1,4.6
117,1,224,375,0.799,5.6,1.7
118,2,247,1030,0.74,6.5,4.2
119,1,312,1752,0.732,7.9,5.6
120,1,350,2086,0.706,9.1,6
121,2,132,263,0.665,6.1,2
122,1,516,1943,0.833,19,3.8
123,1,455,2560,0.813,14.5,5.6
124,2,104,269,0.557,3.6,2.6
125,1,535,1716,0.793,11.2,3.2
126,2,171,413,0.637,5.2,2.4
127,1,717,1295,0.862,9.6,1.8
128,1,293,1150,0.797,5.3,3.9
129,2,73,158,0.736,5,2.2
130,1,428,1560,0.674,7,3.6
131,1,784,2610,0.734,8,3.3
132,1,161,342,0.71,7.5,2.1
133,2,518,1140,0.649,3.7,2.2
134,1,931,2821,0.789,11.5,3
135,1,119,481,0.746,6.9,4
136,1,610,5944,0.585,12.1,9.7
137,2,128,315,0.786,4.5,2.5
138,1,27,27,0.5,1.2,1
139,1,680,4408,0.639,7.2,6.5
141,2,48,178,0.69,4.9,3.7
142,1,130,535,0.776,8.1,4.1
143,2,98,256,0.758,4.7,2.6
144,1,190,1062,0.744,9.1,5.6
145,1,229,1630,0.615,10.2,7.1
146,1,253,636,0.802,12.3,2.5
147,2,36,36,0.846,1.2,1
148,1,359,872,0.811,6.3,2.4
150,1,88,84,0.686,2.3,1
151,1,360,702,0.743,7,2
152,1,455,2226,0.834,16.4,4.9
153,2,36,65,0.703,3.9,1.8
154,1,423,1462,0.715,5.9,3.5
155,1,540,1952,0.691,7.9,3.6
156,1,660,4220,0.703,9.7,6.4
157,1,491,1768,0.821,19,3.6
158,2,183,402,0.702,6.5,2.2
159,1,625,5804,0.699,8.9,9.3
160,2,318,1190,0.562,3.4,3.7
162,1,861,7150,0.806,19.4,8.3
163,1,299,588,0.704,5.9,2
164,1,744,1851,0.857,14.9,2.5
165,2,87,261,0.58,3.3,3
166,2,606,1364,0.784,6.5,2.3
167,1,879,2576,0.8,10.9,2.9
168,2,792,2371,0.78,5.8,3
169,1,75,195,0.64,9.5,2.6
170,2,518,897,0.866,6.3,1.7
171,2,162,477,0.657,3.9,2.9
172,1,527,2725,0.642,12.9,5.2
173,2,644,1826,0.765,5.8,2.8
174,2,45,94,0.691,4.5,2.1
175,1,289,1340,0.691,9.6,4.6
176,1,436,2302,0.704,7.5,5.3
177,1,95,238,0.559,2.6,2.5
178,2,80,80,0.822,5.5,1
179,2,450,1539,0.714,4,3.4
180,2,50,81,0.778,6.3,1.6
182,1,172,242,0.818,4.3,1.4
183,1,320,1314,0.742,19.8,4.1
184,2,180,433,0.768,7.4,2.4
185,1,151,472,0.67,4.4,3.1
186,1,95,140,0.842,3,1.5
187,2,294,819,0.848,9.3,2.8
188,2,7,6,0.75,2.7,0.9
189,1,365,968,0.701,13.3,2.7
190,1,84,56,0.674,2.3,0.7
191,2,92,212,0.68,2.2,2.3
192,2,455,1712,0.791,9,3.8
193,1,441,1517,0.875,22,3.4
194,1,510,4320,0.608,9.1,8.5
195,2,22,18,0.333,2,0.8
196,1,51,137,0.611,6.3,2.7
197,2,532,1827,0.817,8.8,3.4
198,1,534,3639,0.617,9.5,6.8
199,1,408,760,0.807,7.6,1.9
200,2,397,792,0.78,7.8,2
201,1,73,89,0.732,3.5,1.2
202,1,1134,8336,0.739,27.2,7.4
203,2,509,844,0.835,6.7,1.7
204,1,103,142,0.77,9.4,1.4
205,2,861,8192,0.722,16.2,9.5
206,1,601,2219,0.467,2,3.7
207,1,816,4875,0.587,6.8,6
208,2,31,43,0.7,2.8,1.4
209,1,1255,2850,0.862,15,2.3
211,1,62,237,0.7,15.1,3.8
212,2,22,36,0.45,2.2,1.6
213,1,163,456,0.785,5.8,2.8
214,1,346,1696,0.75,9.8,4.9
215,2,235,716,0.839,5.2,3
216,1,397,1739,0.761,6.9,4.4
217,2,7,6,0,0,0.9
218,1,151,429,0.67,5.9,2.8
219,2,26,61,0.7,1.5,2.3
220,1,189,790,0.706,7.4,4.2
221,2,26,89,0.682,4.1,3.4
222,1,82,46,0.566,2.1,0.6
223,2,31,22,0.81,2.7,0.7
224,2,75,95,0.746,4.3,1.3
225,1,409,1927,0.603,5.7,4.7
226,2,133,199,0.613,3,1.5
228,1,71,261,0.821,20.3,3.7
229,2,3,2,1,3.3,0.7
230,1,155,484,0.898,13,3.1
231,1,85,240,0.761,4.5,2.8
232,1,82,88,0.718,3.3,1.1
234,1,183,553,0.729,10.9,3
235,1,256,600,0.823,7.9,2.3
236,2,220,1975,0.83,14.5,9
237,2,44,69,0.375,2.2,1.6
238,1,317,3151,0.631,10,9.9
239,1,376,1004,0.804,13.1,2.7
240,2,69,169,0.706,4.3,2.4
241,1,441,3634,0.655,11.4,8.2
242,2,239,911,0.682,6.2,3.8
243,1,23,15,0.5,1.2,0.7
244,1,863,2475,0.855,10.8,2.9
245,1,878,2595,0.81,11.3,3
246,1,1047,6844,0.812,24.2,6.5
247,1,172,307,0.73,2.9,1.8
248,1,86,77,0.833,2.9,0.9
249,2,59,162,0.79,6.9,2.7
250,1,69,225,0.736,3.8,3.3
251,2,6,17,0,3,2.8
253,1,65,148,0.873,7.1,2.3
254,1,49,89,0.611,2.7,1.8
255,2,9,3,1,0.4,0.3
256,1,211,718,0.768,6.8,3.4
257,2,91,85,0.747,3.2,0.9
258,2,178,469,0.801,8.8,2.6
259,1,379,1295,0.782,12,3.4
260,2,21,26,0.579,1,1.2
261,2,24,14,0.733,2.3,0.6
262,1,457,6089,0.42,13.5,13.3
263,2,41,37,0.724,2.9,0.9
264,1,382,1277,0.812,15.2,3.3
265,2,356,1026,0.786,6.5,2.9
266,2,23,34,0.571,2,1.5
267,1,293,764,0.778,5.2,2.6
268,2,83,82,0.642,3.3,1
269,2,554,2215,0.765,6.1,4
270,2,407,1240,0.797,7.9,3
271,1,138,437,0.72,5.9,3.2
272,1,651,1912,0.824,12.6,2.9
273,1,759,2176,0.825,10.8,2.9
274,2,14,15,1,1.8,1.1
275,1,618,2576,0.564,5.6,4.2
276,2,811,4491,0.669,7.2,5.5
277,2,30,29,0.5,2.7,1
278,1,468,1971,0.574,6,4.2
279,1,507,1815,0.758,8.1,3.6
280,2,13,8,0.5,1.3,0.6
281,1,1017,4332,0.756,11.1,4.3
282,1,218,485,0.749,7.1,2.2
283,2,634,4436,0.797,13.5,7
284,1,167,175,0.728,3.6,1
285,2,456,1050,0.861,4.6,2.3
287,1,16,28,0.3,1.6,1.8
288,1,116,303,0.551,3,2.6
289,1,456,2258,0.788,13,5
290,1,170,725,0.557,4.2,4.3
291,2,459,3173,0.705,9.3,6.9
292,2,37,38,0.6,0.9,1
293,1,530,1808,0.852,19.2,3.4
294,2,110,100,0.754,3.7,0.9
295,1,328,1003,0.725,3.7,3.1
296,1,625,2763,0.903,23.1,4.4
297,1,252,1078,0.74,7.1,4.3
298,1,715,1448,0.841,9.8,2
299,2,52,96,0.578,3.1,1.8
300,2,16,53,0.594,5.2,3.3
301,1,90,127,0.583,2.1,1.4
302,2,7,13,0.667,1.4,1.9
303,1,225,689,0.786,6,3.1
304,2,833,2874,0.772,17.8,3.5
